PR No.,Store,ประเภทค่าใช้จ่าย,Supplier,Description,Venue/Placement,Detial,Project Duration,Work in,Volume,Price / Unit,Amount,ลายเซ็น,Company,ไฟล์แนบ-2,Quotation,ไฟล์แนบ,Ref. No.,"Invoice
(IV)","Receipt
(RE)",หลักฐานการโอน,ลิงก์แนบ,ใบหัก ณ ที่จ่าย (WH)
MK2026-001,Bloom,ของใช้สิ้นเปลือง,Tjballoons ร้านลูกโป่งปาร์ตี้ (Shopee),ธงราวแต่งร้านธีมสงกรานต์,41 / 65 / CTW,ธงราวแต่งร้านธีมสงกรานต์,1-30 Apr,Apr-2026,1,150.00,150.00,เซ็นแล้ว,#REF!,,,,,,,,,
MK2026-002,Pancake,Ads,Daily Sloom ดารารันต์ เรื่องศรี,บูสวิดีโอ Pancake Cafe ,IG Daily Sloom (on Pancake Cafe Video),"บูสวิดีโอ Pancake Cafe จำนวน 10 วัน (จ่ายคืนอินฟลูเต็มจำนวน ไม่หัก ณ ที่จ่าย)
คุณส้ม Daily Sloom",22 Apr - 1 June 2026,Apr-2026,1,"1,497.00","1,497.00",เซ็นแล้ว,#REF!,,,,QT2026040001,INV2026040001,,,,
MK2026-003,Bloom,Influencer,moddwarang,"Influencer Review Bloom Dining, Event Siam Paragon","Bloom Dining, Event Siam Paragon","*รีวิว at Siam Paragon 19 May 2026
*รีวิว at Boom Dining 16 May 2026
**เรทพิเศษ รีวิวที่ร้าน+Event เพียงคลิปละ 9,900 บาท**

เรท 10,900 บาทต่อคลิป (รับ net ในนามบุคคล) รวมโค้ดบูส 30 วัน
- ทางร้าน support ค่าอาหาร/ สินค้า/ บริการ
- แก้ไขงานได้ 1 ครั้ง
- แบรนด์สามารถนำคลิปไปใช้ต่อได้ระยะเวลา 1 ปีครับ, asset buy out 5,000 บาทครับผม
- ใส่ # ได้ตามที่ platform กำหนด
- ทางช่องไม่ลบโพสท์ครับ","16,19 May 2026",May-2026,2,"9,900.00","19,800.00",เซ็นแล้ว,,,,,,,,,,
MK2026-004,Bloom,Influencer,คุณจ๊อบ (สำรองจ่าย),Influencer Review,CTW / 41,"- CTW Sarah (Salt Sugar) 2,000 บาท *ชาวต่างชาติ สำรองจ่ายเป็นเงินสดไม่มีหัก ณ ที่จ่าย
- Store 41 เพจแดก 4,000 บาท *ดีลพิเศษแบบไม่มีหัก ณ ที่จ่าย (เรทปกติ 6,000 บาท)",Apr 2026,Apr-2026,1,"6,000.00","6,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-005,Bloom,Influencer,delicioushours,Influencer Review Event Siam Paragon 19 May 2026,Event Siam Paragon,"- ค่าเดินทางไปถ่ายทำคลิป 1,000 บาท (ไม่หัก ณ ที่จ่าย)
- ช่อง delicioushours พัชรัตน์ รัตนเจริญ",19 May 2026,May-2026,1,"1,000.00","1,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-006,Bloom,POP & POSM,New Menu for 41,ถ่ายภาพและจัดทำเล่มเมนูใหม่สำหรับสาขา 41,Bloom Dining,"photographer + assistant - 2 days 36,000
props stylist + props - 2 days 24,000
menu design / artwork 40,000
ระยะเวลาการทำงาน 7 Weeks",June 2026,,1,"100,000.00","100,000.00",,,,,,,,,,,
MK2026-007,Pancake,Influencer,delicioushours,Influencer Review Pancake Cafe,CTW,"- ค่าเดินทางไปถ่ายทำคลิป 1,000 บาท (ไม่หัก ณ ที่จ่าย)
- ช่อง delicioushours พัชรัตน์ รัตนเจริญ",26 May 2026,May-2026,1,"1,000.00","1,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-008,Bloom,Influencer,talaettaettae (วีรยุทธ โจหิงค์),Influencer Review Event Siam Paragon 19 May 2026,Event Siam Paragon,"- TikTok (VDO Review On Tiktok) พร้อมแถมฟรีการลงในช่องทาง Facebook และ Instagram จำนวน 1 งาน ราคา 1,000 บาท
- Gencode 30 days / Asset VDO",20 May 2026,May-2026,1,"1,000.00","1,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-009,Bloom,ส่งเสริมการขาย,บ. เมโลร่า ครีเอชั่น จำกัด,Mockup ตุ๊กอย่างตุ๊กตาเพรทเซล ขนาด 15 ซม.,-,"Mockup ตุ๊กอย่างตุ๊กตาเพรทเซล ขนาด 15 ซม.
- ตุ๊กตา ขนาด 15 cm
- ผ้าขนนุ่มละเอียด และผ้าขนสัตว์ยาว
- ปักเย็บหน้าตา ปักลายจุดสีขาว มีขา
- ประกบชิ้นส่วนหน้าหลัง
- พวงกุญแจสายพิมพ์ลาย 1 ด้าน + ห่วงวงกลม
- บรรจุ opp ใส 1:1",June 2026,Jun-2026,1,"5,000.00","5,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-010,Bloom,ส่งเสริมการขาย,บ. เมโลร่า ครีเอชั่น จำกัด,ตุ๊กอย่างตุ๊กตาเพรทเซล ขนาด 15 ซม.,-,"ตุ๊กตา ขนาด 15 cm จำนวน 300 ชิ้น ราคาชิ้นละ 168 บาท

• ผ้าขนนุ่มละเอียด และผ้าขนสัตว์ยาว
• ปักเย็บหน้าตา ปักลายจุดสีขาว มีขา
• ประกบชิ้นส่วนหน้าหลัง
• พวงกุญแจสายพิมพ์ลาย 1 ด้าน + ห่วงวงกลม
• บรรจุ opp ใส 1:1",June 2026,Jun-2026,300,168.00,"50,400.00",เซ็นแล้ว,,,,,,,,,,
MK2026-011,Bloom,Ads,Tiktok Ads-moddwarang,ยิงแอด Video moddwarang,Tiktok Bloom,"ยิงแอด Video moddwarang รีวิวร้าน 41
- ลง Post 13 June 2026
- Gen Code 30 วัน
- ยิงแอด 17 June 2026 - 08 July 2026",17 June 2026 - 08 July 2026,Jun-2026,1,"3,000.00","3,000.00",เซ็นแล้ว,,,,,,,,,,
MK2026-012,Bloom,ของใช้สิ้นเปลือง,บ.มิสเตอร์ ดี ไอ วาย,สีสเปรย์ สีดำ,อุปกรณ์สำนักงาน,สีสเปรย์ สีดำ สำหรับพ่นอุปกรณ์สำนักงานที่สีไม่ตรงตามแบรนด์,July 2026,Jul-2026,1,39.00,39.00,,,,,,,,,,,
MK2026-013,Pancake,Ads,Meta Ads-nabzandgio,ยิงแอด Video nabzandgio,IG nabzandgio x Pancake,"ยิงแอด Video nabzandgio (Review Pancake Cafe)
- ยิงแอด 19 June 2026 - 19 July 2026",19 June 2026 - 19 July 2026,Jun-2026,1,"1,500.00","1,500.00",,,,,,,,,,,
MK2026-014,Bloom,Influencer,yummiefoodiess (ปริชญา จันทร์ตรี),"Influencer Review
- yummiefoodiess (ปริชญา จันทร์ตรี)",PRG,Influencer Review Event PRG 16-30 July 2026,July 2026,Jul-2026,1,"3,000.00","3,000.00",,,,,,,,,,,
MK2026-015,Bloom,Influencer,yummiefoodiess (ปริชญา จันทร์ตรี),"Influencer Review
- yummiefoodiess (ปริชญา จันทร์ตรี)",Bloom 41,Influencer Review Store 41 - July 2026,July 2026,Jul-2026,1,"3,000.00","3,000.00",,,,,,,,,,,
MK2026-016,Bloom,Influencer,รีวิวเพื่อ (ปฏิภาณ คล้ายสิงห์),"Influencer Review
- รีวิวเพื่อ (ปฏิภาณ คล้ายสิงห์)",PRG,Influencer Review Event PRG 16-30 July 2026,July 2026,Jul-2026,1,"8,000.00","8,000.00",,,,,,,,,,,
MK2026-017,Bloom,Influencer,พะยูนบูด (จ่ายเป็นค่าเดินทาง),"Influencer Review
- พะยูนบูด (จ่ายเป็นค่าเดินทาง)",PRG,Influencer Review Event PRG 16-30 July 2026,July 2026,Jul-2026,1,"8,500.00","8,500.00",,,,,,,,,,,
MK2026-018,Bloom,Influencer,"อ๋อมแอ๋มตะลอนกิน (จ่ายเป็นค่าเดินทาง)
","Influencer Review (นามบุคคล)
- อ๋อมแอ๋มตะลอนกิน (จ่ายเป็นค่าเดินทาง)
",PRG,Influencer Review Event PRG 16-30 July 2026,July 2026,Jul-2026,1,"1,000.00","1,000.00",,,,,,,,,,,
MK2026-019,Bloom,Influencer,Mild & Hun (ลลิตพรรณ ศิลป์สัมฤทธิ์),Mild & Hun (ลลิตพรรณ ศิลป์สัมฤทธิ์),"Influencer Review
- Mild & Hun (ลลิตพรรณ ศิลป์สัมฤทธิ์)",Bloom 41,Influencer Review Store 41 - July 2026,July 2026,1,"6,500.00","6,500.00",,,,,,,,,,,
MK2026-020,Bloom,Influencer,spectumpakorn,"Influencer Review (Barter)
- spectumpakorn",Bloom 41,"Influencer Review Store 41 - July 2026
- Barter 5,000 ใช้ได้ทั้ง Bloom 41 and Pancake Cafe",July 2026,Jul-2026,1,0.00,0.00,,,,,,,,,,,
MK2026-021,Office,อุปกรณ์สำนักงาน,Shopee (Littlebags.B),อุปกรณ์กันรอย Macbook Neo 2026,Office,"- เคสใส Mac Neo 2026
- แผ่นซิลิโคนป้องกันแป้มพิมพ์
- Film Trackpad",July 2026,Jul-2026,1,190.00,190.00,,(BloomBkk) บริษัท หวานปาก คอร์ปอเรชั่น จำกัด 18 ซอย พัฒนาการ 65 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250 โทร 02 722 2370 - 1 แฟกซ์ 02 722 2372 เลขประจำตัวผู้เสียภาษี 0105560071128,PR_Images/22.ไฟล์แนบ-2.092740.jpg,,,,,,,https://s.shopee.co.th/3VigGMzsDL,
MK2026-022,Pancake,อุปกรณ์สำนักงาน,Shopee,ลำโพง + ไมค์ไร้สาย ใช้ประกาศคิวลูกค้า,,,7/1/2026,Jul-2026,1,310.00,310.00,,(Pancake) บริษัท หวานปาก จำกัด (สำนักงานใหญ่) 18 ซอย พัฒนาการ 65 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250 โทร 02 722 2370 - 1 แฟกซ์ 02 722 2372 เลขประจำตัวผู้เสียภาษี 0105554132943,PR_Images/23.ไฟล์แนบ-2.094220.jpg,,,,,,,https://s.shopee.co.th/1qaSIWah2u,
MK2026-023,Pancake,Influencer,nabzandgio,Meta Ads-nabzandgio,ยิงแอด Video nabzandgio,IG nabzandgio x Pancake,"ยิงแอด Video nabzandgio (Review Pancake Cafe)
- ยิงแอด 19 June 2026 - 19 July 2026",19 June 2026 - 19 July 2026,1,"1,500.00","1,500.00",,,,,,,,,,,
